transaction_id,vendor_id,gross_revenue,platform_fee_percentage,variable_tax_percentage,platform_fee_amount,tax_amount,net_payout
TXN-10001,VND-39,4414.09,2.5,20.0,110.35,882.82,3420.92
TXN-10002,VND-29,2600.2,2.5,10.0,65.0,260.02,2275.18
TXN-10003,VND-15,3884.53,2.5,15.0,97.11,582.68,3204.74
TXN-10004,VND-43,2832.62,2.5,20.0,70.82,566.52,2195.28
TXN-10005,VND-08,2785.88,7.5,10.0,208.94,278.59,2298.35
TXN-10006,VND-21,617.97,5.0,15.0,30.9,92.7,494.37
TXN-10007,VND-39,674.38,5.0,15.0,33.72,101.16,539.5
TXN-10008,VND-19,2671.19,5.0,10.0,133.56,267.12,2270.51
TXN-10009,VND-23,1380.86,7.5,10.0,103.56,138.09,1139.21
TXN-10010,VND-11,154.13,5.0,15.0,7.71,23.12,123.3
TXN-10011,VND-11,3628.05,7.5,10.0,272.1,362.8,2993.15
TXN-10012,VND-24,210.81,7.5,20.0,15.81,42.16,152.84
TXN-10013,VND-36,2996.62,2.5,10.0,74.92,299.66,2622.04
TXN-10014,VND-40,2719.01,7.5,10.0,203.93,271.9,2243.18
TXN-10015,VND-24,4845.63,5.0,10.0,242.28,484.56,4118.79
TXN-10016,VND-03,2446.86,5.0,15.0,122.34,367.03,1957.49
TXN-10017,VND-22,364.83,5.0,15.0,18.24,54.72,291.87
TXN-10018,VND-02,2780.86,2.5,10.0,69.52,278.09,2433.25
TXN-10019,VND-24,4213.43,2.5,15.0,105.34,632.01,3476.08
TXN-10020,VND-44,4984.4,2.5,10.0,124.61,498.44,4361.35
TXN-10021,VND-30,2180.2,7.5,20.0,163.51,436.04,1580.65
TXN-10022,VND-38,1635.48,5.0,15.0,81.77,245.32,1308.39
TXN-10023,VND-02,4537.93,7.5,10.0,340.34,453.79,3743.8
TXN-10024,VND-21,996.65,7.5,15.0,74.75,149.5,772.4
TXN-10025,VND-33,3096.37,5.0,20.0,154.82,619.27,2322.28
TXN-10026,VND-12,2058.29,2.5,20.0,51.46,411.66,1595.17
TXN-10027,VND-22,253.36,5.0,10.0,12.67,25.34,215.35
TXN-10028,VND-44,1769.08,7.5,15.0,132.68,265.36,1371.04
TXN-10029,VND-25,1362.88,7.5,20.0,102.22,272.58,988.08
TXN-10030,VND-49,3446.15,2.5,15.0,86.15,516.92,2843.08
TXN-10031,VND-27,4746.51,7.5,10.0,355.99,474.65,3915.87
TXN-10032,VND-42,1376.83,7.5,20.0,103.26,275.37,998.2
TXN-10033,VND-28,4066.76,5.0,20.0,203.34,813.35,3050.07
TXN-10034,VND-16,324.03,2.5,15.0,8.1,48.6,267.33
TXN-10035,VND-15,2713.7,5.0,20.0,135.68,542.74,2035.28
TXN-10036,VND-47,399.22,5.0,10.0,19.96,39.92,339.34
TXN-10037,VND-44,4673.46,5.0,10.0,233.67,467.35,3972.44
TXN-10038,VND-03,3843.44,7.5,20.0,288.26,768.69,2786.49
TXN-10039,VND-37,3306.85,7.5,10.0,248.01,330.68,2728.16
TXN-10040,VND-07,4128.29,2.5,20.0,103.21,825.66,3199.42
TXN-10041,VND-21,3255.22,7.5,20.0,244.14,651.04,2360.04
TXN-10042,VND-09,4846.27,2.5,20.0,121.16,969.25,3755.86
TXN-10043,VND-39,3584.09,5.0,20.0,179.2,716.82,2688.07
TXN-10044,VND-18,4627.06,5.0,15.0,231.35,694.06,3701.65
TXN-10045,VND-04,2609.8,7.5,20.0,195.74,521.96,1892.1
TXN-10046,VND-25,629.47,7.5,10.0,47.21,62.95,519.31
TXN-10047,VND-14,2664.48,2.5,15.0,66.61,399.67,2198.2
TXN-10048,VND-50,678.02,7.5,10.0,50.85,67.8,559.37
TXN-10049,VND-09,2982.84,7.5,20.0,223.71,596.57,2162.56
TXN-10050,VND-26,2438.34,7.5,10.0,182.88,243.83,2011.63
TXN-10051,VND-02,3131.75,5.0,15.0,156.59,469.76,2505.4
TXN-10052,VND-20,99.73,7.5,10.0,7.48,9.97,82.28
TXN-10053,VND-28,1014.46,7.5,15.0,76.08,152.17,786.21
TXN-10054,VND-47,2482.09,5.0,20.0,124.1,496.42,1861.57
TXN-10055,VND-07,4754.99,5.0,20.0,237.75,951.0,3566.24
TXN-10056,VND-44,1948.86,5.0,10.0,97.44,194.89,1656.53
TXN-10057,VND-08,2150.64,5.0,10.0,107.53,215.06,1828.05
TXN-10058,VND-47,3587.75,7.5,20.0,269.08,717.55,2601.12
TXN-10059,VND-35,3038.77,7.5,20.0,227.91,607.75,2203.11
TXN-10060,VND-14,1529.68,7.5,10.0,114.73,152.97,1261.98
TXN-10061,VND-17,2083.54,2.5,20.0,52.09,416.71,1614.74
TXN-10062,VND-36,1127.61,5.0,15.0,56.38,169.14,902.09
TXN-10063,VND-50,4831.81,7.5,15.0,362.39,724.77,3744.65
TXN-10064,VND-40,696.64,7.5,10.0,52.25,69.66,574.73
TXN-10065,VND-04,1890.59,7.5,10.0,141.79,189.06,1559.74
TXN-10066,VND-02,177.9,5.0,20.0,8.9,35.58,133.42
TXN-10067,VND-06,1147.81,5.0,20.0,57.39,229.56,860.86
TXN-10068,VND-42,3913.33,5.0,15.0,195.67,587.0,3130.66
TXN-10069,VND-04,1045.82,7.5,10.0,78.44,104.58,862.8
TXN-10070,VND-29,446.31,5.0,10.0,22.32,44.63,379.36
TXN-10071,VND-18,2398.54,7.5,10.0,179.89,239.85,1978.8
